reply,category
저는 시중 우유 중에서 서울 우유 나    가 제일 신선하고 맛있는 것 같아요 이것만 사 먹어요  아이들은 씨리얼 넣어 먹고 가끔 딸기나 바나나 넣어 갈아먹기도 하고 우리 둘째 딸 좋아하는 고구마 먹을 때 고구마 맛탕 스틱 군고구마 찐고구마 모든 고구마 요리와 같이 먹으면 고 소함이 최고죠  저는 전자렌지에  분 정도 뎁혀서 카누    봉지 넣어 저어 마시는데 꽤 괜찮은 카페라테 되더라구요 저는 너무 진한 것을 싫어하게 때문에 우유 뎁힐 때 물을   미리 정도 살짝 넣어주면 농도가 적당한 것 같고요 카페라떼 마시다가,Dairy
     우유 주문하다가 일시품절이라 이걸로  개 샀는데 밑에 깔려있는 우유들은 다 구겨지고 하나는 결국 세서 왔어요  입구부분이 살짝 벌어지면서 소량 센거라 그냥 먹는데    배송할 때 어떻게 해야하는지 고민이 좀 필요하신 부분 같습니다  아기가 먹을거라 교환할까하다가 그냥 입구 벌어진 건 어른이 먹으려고 합니다  신경써주시기 바라요  ,Dairy
받자마자 찍은건데요   우유가 왜이리 빵빵하죠      그리고 찌그러져있어요 뭐 찌그러진건 배송중 그렇다 치지만 우유가 먹기 찜찜하게 왜이리 빵빵한건지   ,Dairy
서울우유        항상 마시는데 새벽배송으론 처음 주문해 봤습니다  이마트 매장가서 구매하면   프로 할인받는 쿠폰이 있었지만 매장가기 귀찮아서 새벽배송으로 주문했습니다   월  일 주문했고  월  일 새벽배송으로 받았습니다  제조일은  월  일이네요  이마트 매장에 가면 진열대 안쪽을 봬도 찾아볼 수 없는 날짜네요 ,Dairy
우유가 터져서 온게 이번이 두 번째 입니다  대체 무거운 상품 밑에 우유를 왜 놓으시는거죠  제품 포장시에 신경 좀 써주셨으면 좋겠네요 우유는 우유대로 터지고 같이 있던 상품들은 다 닦아내고 이게 뭡니까 ,Dairy
배송기사님께 미안할정도로 오랜만에 장보면서 부식  생필품 많이 주문했는데요 찌그러지거나 터진 곳 없이 잘 받았습니다 가장 좋아하는 우유 서울우유라서 주문했고  동네 이마트에브리데이보다    원가량 저렴하게 구입했네요,Dairy
전 리뷰 쓸때 왠만한 불만은 안쓰고 고객센터 문의로 끝나는데요  이번엔 너무해요  아가 먹일 우유가 찌그러졌어요     교환 신청은 안했는데 잘 부탁드립니다  아가 과자박스는 찢어지고요   ,Dairy
서울우유  개  월  일에 배달 받았는데 유통기한을   월  일   월 일까지인 유통기한이 임박해서 너무 짧아서 상하기 쉬운 것들만 몽땅다 모아서 배달해 주었네요  이마트는 늘 이렇게 유통기한 임박한것만 보내줘서 믿고 샀다가는 몇통씩 버리기 일수입니다  적어도  개중    개는 유통기한 좀 긴것 보내주시면 안되나요  다음부턴 절대 이마트 믿고서 우유 많이 시키지 않을겁니다 우유값도 인상되었는데  늘 이런식으로 해도 너무 하네요 소비자 불만사항을 이렇게 개무시해도 되는걸까 다시한번 생각해보기길 경고합니,Dairy
우유   개를   일 주문했는데   일 제조 유통기한     일까지인 우유를 보내주는 서산지점 진짜 최악이네요 고객한테 재고 처리하는건지 단 한개도   일주일 이상 남은 제품이 없네요 아무리 유통기한이라도 너무하네요 이렇게 보내주면 누가 배달로 시키고 싶을까요 ,Dairy
고소하고 맛있어요  생우유 마시면 배에 가스차는 체질이라 항상 따뜻하게 데워서 마시고 있어요 ,Dairy
항상 서울우유만 먹어요,Dairy
      쓱배송 편하고 좋아요 원하는 시간에 집으로 오니 왔다갔다 왕복시간과 쇼핑 시간까지 절약할수 있어서 너무 편합니다 한가지 아쉬운건 유통기한이 좀 짧은게 오는것과 가서 직접 구입하는거보다 상태가 좀 별로 인거도 있어요,Dairy
저는 시중 우유 중에서 서울 우유 나    가 제일 신선하고 맛있는 것 같아요 이것만 사 먹어요  아이들은 씨리얼 넣어 먹고 가끔 딸기나 바나나 넣어 갈아먹기도 하고 우리 둘째 딸 좋아하는 고구마 먹을 때 고구마 맛탕 스틱 군고구마 찐고구마 모든 고구마 요리와 같이 먹으면 고 소함이 최고죠  저는 전자렌지에  분 정도 뎁혀서 카누    봉지 넣어 저어 마시는데 꽤 괜찮은 카페라테 되더라구요 저는 너무 진한 것을 싫어하게 때문에 우유 뎁힐 때 물을   미리 정도 살짝 넣어주면 농도가 적당한 것 같고요 카페라떼 마시다가,Dairy
     우유 주문하다가 일시품절이라 이걸로  개 샀는데 밑에 깔려있는 우유들은 다 구겨지고 하나는 결국 세서 왔어요  입구부분이 살짝 벌어지면서 소량 센거라 그냥 먹는데    배송할 때 어떻게 해야하는지 고민이 좀 필요하신 부분 같습니다  아기가 먹을거라 교환할까하다가 그냥 입구 벌어진 건 어른이 먹으려고 합니다  신경써주시기 바라요  ,Dairy
우유팩이 심하게 찌그러져 있고 우유가 샌 채로 배송이 와서 교환 진행했습니다  그런데 또 똑같이 심하게 찌그러져있는 우유가 배송됐네요  겉이 아무리 망가져있어도 내용물만 깨끗하고 이상 없으면 된다는 주의인데 내용물이 밖으로 새어나올 만큼의 파손 상품을 두번이나 보내시다니    배송 상의 문제라고 하기엔 같이 온 타 브랜드 우유는 너무 멀쩡한 상태로 잘 왔고요 신선식품이라 클릭 몇번으로 쉽게 반품 교환되는 것도 아니고 상담원을 통해서만 가능한데 두번이나 교환하긴 귀찮고 짜증나서 그냥 돈 버린 셈 치겠,Dairy
가장 익숙한 우유 항상 시켜먹는 우유에요 우유에서 비린맛 쿱쿱한맛 안나고 가장 고소하고 깔끔한맛 같아요,Dairy
믿고 먹는 원유      서울우유 감사합니다  항상 우유를 선택할때 신중한 점들을 봐요  우유는 그냥 우유가 아닙니다  덜 비리거나 약간의 담백함 그리고 고소한 맛도 있어야 하는데 서울우유는 이 가지가 다 통틀어서 있어요   ,Dairy
배송에 문제가 있습니다  고객센터에서는 환불 이외에 다른 조치를 못취하겠지요  우유 터져서 저렇게 다른 상품들까지 우유 범벅이고 치우고 씻고 닦느라 아까운 시간을 낭비했는데  우유 때문에 생긴 같은 일이 이번이 처음이 아니라는 데 더 화가 납니다 ,Dairy
역시 우유는 서울우유입니다  라떼를 만들어먹어도  밀크티를 만들어먹어도 그냥 먹어도 맛납니다 ,Dairy
배송이 빨라서 좋았습니다  역시 믿고 이용하는 쓱배송입니다  스마일클럽으로   천원에 무료배송한것도 마음이 듭니다  유통기한 넉넉한 상품 보내줘서 고맙습니다 ,Dairy
  일 주문했는데   일자 우유를 배송 받음   개 주문했는데 재고를 투척 받은 듯 고객센터에 문의해도 답변도 없고 실망스러움을 지나 분노가 느껴집니다 매장에서 안 필리는 물건들 쓱배송으로 빠르게 전달 받은 듯  내가 직접 선택한 것이라면 내가 책임지겠지만 눈에 보이지 않는 고객이라 이리 막대하는지,Dairy
자주 시켜먹는 가장 기본적인 우유,Dairy
배송이 문제일까요    포장 하시는분이 문제 일까요  암튼 속상하네요  상품들이 현관문 가로막고 있어서 속상했는데 ,Dairy
유제품 특히 제조일 유통기간있는 제품들은 직접구매하는게    일구매한 우유가 제조일이      일도아닌   일이라 내용사항에도 제조 유통기간 긴날짜요청 썼는데도     지인에게추천은커녕 나또한 구매안함,Dairy
유통기한도 넉넉한걸로 주시고 차가운 상태로 와서 좋았어요 서울우유 맛있는건 뭐 다 아시죠     만족해요  ,Dairy
인터넷에서 다양한 상품을 비교하고 선택했습니다  품질이 좋습니다  택배도 제시간에 왔습니다  잘 받았습니다 제품 마음에 들어요  쓰다가 좋으면 나중에 또 구매하겠습니다  감사합니다 ,Dairy
서울우유 너무 좋아요 다음에도 또또또 구매하려구요 다음에도 또또또 구매하려구요,Dairy
항상 맛 배송 포장 만족  항상 드라이아이스나 팩과 배송 카페라떼 도전,Dairy
구매를 해서   일에 받았는데  일 제조하고 유통기간이   일이네요 제조일자 최근상품으로 배송을 부탁드리는데 배송에 신경 좀 써 주시면 합니다,Dairy
쓱배송은 처음인데 아이스팩과 함께 와서 좋았는데  개구입했는데 날짜가 달라요 힘들더라도 날짜 가장 좋은걸로 주셨으면 하는 아쉬움이 있어요,Dairy
신선하고 좋아요 저희 가족이 코로나에 걸려 밖에 나갈수 없어서 우선 먹고 싶은거랑 간단하게 해먹을수 있는 제품만 몇개 구매했어요 유통기한도   일까지라 넉넉합니다,Dairy
다음에도 또또또 구매하려구요 다음에도 또또또 구매하려구요,Dairy
다음에도 또또또 구매하려구요 다음에도 또또또 구매하려구요,Dairy
오늘 두부가 터져서 알비백이 물이 흥건하여 우유가 제일 걱정이었는데 다행히 터지진 않고 터지려 한 순간 이었던거 같아요 너무 최악이예요,Dairy
서울우유는 늘 맛있게 먹고 있습니다  다만 제조일자가 이미 며칠 지난 상품이 와서 좀 그렇네요  같이 주문한 마감세일 상품보다도 날짜가 짧드라고요,Dairy
배송 깔끔하고 서울우유 최고,Dairy
우유가 터져서 왔습니다  ,Dairy
고소한 서울 우유 맛있어요  날짜도 아주 넉넉 하게 신선한 우유가 와서 정말 좋았습니다  이마트와 직원분들 배송기사님등 모두 감사합니다  배송 포장 정말 깔끔 하고 배송도 시간도 정확 완전 최고 입니다 ,Dairy
상품빠르게 잘받았습니다  실시간으로 배송도착까지 알려주고 문앞에   배달되니 임산부라서 너무 편합니다  상품문제 없이 잘도착했구요  가끔 계란이 깨져서 온적이 몇번있었지만    대체적으로 만족합니다 ,Dairy
