reply,category
빠르고 안전하게 잘 도착했어요  후기 찾아보니 촉촉하다고 평이 전반적으로 좋기에   대 후반 지인 선물용으로 구매했습니다  요청한대로 선물박스 잘 챙겨주셔서 감사합니다  크림샘플도 하나 더 와서 좋았어요 ,cosmetics
피부 예민하고 제품 특유의 끈적임이 싫어서 화장품 자체를 잘 바르지 않아도 반질하던 남편피부도 중년으로 훨씬 넘어가면서 골프치고 장거리 운전 자주 하면서 피부가 많이 상해짐을 느꼈는지 욕실에 둔 바디로션을 가끔씩 바르길래 생일도 다가오는 시점에 딸애가 아빠생일선물로 고민하길래 평소 비오템제품 순해서 써오던 제가 비오템 옴므제품 써치해보라 했더니 간편한 올인원 제품으로 구입했네요  젤제품이라 끈적임 없고 올인원이라 단한번에 모든게 끝나니 아빠 쓰기에 딱이라며 엄지 척하네요  향이 조금 강한것 빼고는 너무,cosmetics
선물포장 요청하면 셀프 포장할 수 있는 선물 박스를 주신다고 해서 주문했습니다  하지만 선물 박스가 작은 걸로 도착했습니다  선물 박스 높이가 화장품 높이보다 낮아서 포장을 하면 박스를 어거지로 눌러야하기 때문에 자꾸 찌그러지거나 윗부분이 붕떠요  게다가 리본 부분이 자꾸 떨어집니다  불량인건지 포장박스가 작다보니 압력이 생겨서 떨어지는건지   교환할 시간이 없어서 선물은 그대로 하긴 했지만 포장이 엉망이라 많이 속상했어요 ,cosmetics
신랑이 좋아해요 향도 좋구요  유효기간 길고 좋네요  파우치도 주시고 잘쓸게요  ,cosmetics
지인들에게 적극 추천해요  친정아빠가 쓰시는건데  전에 써보시고 너무 좋다고 하섰어요  쓱에서 행사하길래 구입했습니다   등하는데는 이유가 있는듯 해요 ,cosmetics
신랑이  겨울에도 쓸정도로 잘쓰고있어요  사실 겨울에는 쫌 수분이 부족할수도 있지만  끈적이지않고  흡수력도 빨라서  데일리로 잘 쓰고있어요 ,cosmetics
형부선물로 사드린건데요   년전부터 이 제품으로만 몇번 선물해 드렸어요 다른 제품들은 향이 너무 강하거나 바른 후 끈적함을 좋아하지 않으신다는 언니의 말에 사드렸던건데 늘 이 제품만 쓰신대요 구성도 좋고 남자선물로는 아주 좋습니다  ,cosmetics
포장도 잘 되어서 왔어요 배송도 빨랐구요 남편데리고 백화점 가서 화장품 이거저거 발라보게했는데 다 마음에 안든다고 하더니 이 화장품은 향도 마음에 들고 발림성도 좋다고 아주 만족하네요,cosmetics
선물주문했는데 선물 박스가 안왔네요 그냥 쇼핑봉투에 줘야할판 원래 비오템 잘 챙겨줘서 주문하는데 실망이예요 ,cosmetics
선물용으로 구매했어요     배송 빠르고  포장 박스도 동봉해 주셔서 좋네요  후기 보니 선물 박스가 제품 사이즈와 안 맞는 경우가 있던데 저는 다행히 잘 맞는 케이스로 왔어요  기분 좋게 선물할 수 있겠네요,cosmetics
