reply,category
한 겨울용의 기모 바지이고 두툼해요  신축성이 좋아요  밝은 베이지를 사도 좋을 것 같아요  허리  엉덩이  허벅지 품이 넉넉해요 ,fashion
재질이 너무 좋네요 진짜 하나 더 사고싶은데 품절이라 넘 아쉽네요    감사합니다,fashion
원단도 도톰하고 부드러워 아주 좋습니다  신축성이 좋아서 활동하기에 아주 편안합니다  품질이 매우 좋습니다  사이즈도 딱 맞고 핏이 좋습니다  다른 컬러로 추가 구매합니다 ,fashion
두께감 있어서 겨울용으로 좋구여  핏도 좋아여  단 이런 원단의 제품들이 세탁을 할수록 바래지는 느낌이 있더라구여  그래도 좋은 제품 잘 구입했습니다 ,fashion
색감 무난하게 좋고  도톰하고 따뜻하고 부드럽고 몸에 꽉 끼지 않는 스탠다드 핏의 편안한 겨울 면바지 찾으시는 분들께 추천할 수 있는 좋은 바지인 것 같습니다 ,fashion
배송이 오래걸렸네요 제품은 할인 많이해서 괜찮은거 같아요 두께감이 좋아 한겨울에도 잘입겠어요,fashion
배송이 오래걸렸네요 제품은 할인 많이해서 괜찮은거 같아요 두께감이 좋아 한겨울에도 잘입겠어요,fashion
잘받았어요 잘입을께요,fashion
제품 잘받았습니다 수고하세요,fashion
다른 제품보다 허리가 작아서 한사이즈 큰걸로 다시 주문했어요 그랬더니 바지통이 넓어요 옷은 도톰하고 따뜻해서 그냥 입으려구요,fashion
이상품사면 후회하지않을거같아요 원단도좋고 정사이즈로 잘맞습니다,fashion
바지가 약기모에 살짝 도톰하고 무겁지 않고 겉감의 촉감도 좋아 잘 입고 다녀요 ,fashion
원단은 좋으나 스탠다드핏이라 그런지 엉덩이나 바지통이 좀 넉넉한것 같아요 ,fashion
겨울 바지로 두깨감과 무게가 있음  전체적인 핏감이 좋음 ,fashion
항상 계절마다 애용하는 브랜드에요 역시나 가성비 최고에요,fashion
이쁘고 싸고 좋아요 몇 번 세탁 했는데 변형 거의 없어서 좋네요,fashion
바지가 두툼하고 너무좋고 가격도 착하네요 다른색재구매하고싶어요,fashion
다크베이지 구매후 옷이 좋아 아이보리도 재구매했네요,fashion
따뜻한 약기모 면바지네요 재질도 부드러워 감싸주는 느낌이 아주 좋네요 추가 구매 예정입니다,fashion
핏도 이쁘고 기모도 적당합니다,fashion
사이즈도 딱 맞고 아부지도 맘에들어하시네요 번창하세요  ,fashion
가격대비 품질 좋습니다,fashion
저렴한 가격에 잘 샀어요,fashion
좋네요 좋네요 좋네요,fashion
좋아요 좋아요 좋아요,fashion
매우 만족 합니다 ,fashion
잘받았습니다 잘받았습니다 ,fashion
포장도 배송상태도 좋아요,fashion
가성비갑   기장은 좀 기네요  수선    ,fashion
매장에서 입어본디쟌이라 한겨울 거뜬히 입겠어요,fashion
맘에 들어서 다른색상도 추가구매 ,fashion
가겨 좋고 품질 좋고   최고최고  ,fashion
가격대비 정밀 좋은 바지예요 ,fashion
바지 정밀 좋아요  싸이즈 있으면 빨리 가져가세요,fashion
빠른배송 지금입기좋아요,fashion
남편이좋아합니다빠른배송 가격대비좋네요,fashion
생각보다 기모가 있고 괜찮아요 ,fashion
두께감도 있고 사이즈 아주 좋아요,fashion
기대를 저버리지 않네요  재질  신축성 다 좋아요,fashion
적당히 도톰하고 좋아요 색상도 화면과 같네요,fashion
가격 좋아요  뻘리 가져가세요,fashion
제품 잘받았습니다 아주 좋아요,fashion
바지도 도톰한데다 엄청 편하게 잘 입을 거 같아요,fashion
신랑 겨울용으로 구입,fashion
저렴하고 질도 좋고 아주 만족,fashion
저렴하게 잘샀습니다 감사합니다,fashion
겨울바지로 완전좋아요  하나더 주문했어요,fashion
이뻐요  배송 포장 모두 만족,fashion
두툼하고 단 조절도 필요없고 좋아요,fashion
베이지 사고 싶었는데 없어서   ,fashion
바지 통이 좀 큰편이네,fashion
두께감도 있고 사이즈 아주 좋아요,fashion
맘에 들어하네요 톡톡해요,fashion
이가격에 이정도면 정말좋네요,fashion
남편이 좋아하네요 잘입을게요,fashion
편하게 입기 좋을거 같아요,fashion
톡톡하니 좋네요 지금부터 입기 좋아요,fashion
톡톡하니 좋네요 지금부터 입기 좋아요,fashion
항상 주문하는 상품이예요  ,fashion
너무 좋네요 재구매 원했는데 품절,fashion
먼지가 많이 묻어요 ,fashion
기본핏이고 도톰해요,fashion
이쁘네요색감 바지는,fashion
색상이 좀 어두운편이고 활동하기 쉬워요,fashion
겨울에 입기 좋겠어요 ,fashion
막입고 다니기좋아요,fashion
신축성이 좋고 따뜻하니 좋아요,fashion
따숩고 너무 조으네요  강추임당,fashion
두껍고 재질이 부드러워요,fashion
빠른배송감사합니다 ,fashion
잘입을 께요 조으네용 짱  ,fashion
가성바 좋은 상품입니다 ,fashion
가성비 좋은 상품입니다 ,fashion
다른색상있었으면재구매하고싶네요  사이즈가빠져서아쉬워요  완전한겨울까지 입을수있어요,fashion
최고예요 ,fashion
최고예요 ,fashion
최고예요 ,fashion
최고예요 ,fashion
한치수 작게 입으면 좋을듯 합니다,fashion
상의     입는데 정사이즈로 주문  완전 잘 맞음  소재가 부드러워서 너무 편함 ,fashion
상의     입어서 정사이즈로 주문  잘 맞음  소재가 부드러워서 좋음 ,fashion
아들 주려고 샀는데 넘 부드럽고 따뜻할것 같아요  저럼하게 잘 구입해서 만족해요,fashion
자주입으니 보풀이 일어나네요 얇아서 가을에 잘 입고잇어요,fashion
까칠한 촉감이면 남편이 절대 안입는데 부드럽고 좋아요,fashion
저렴하게 잘샀어용 아직 안입는데 겨울되면 잘 입을것같아용,fashion
가성비 정말 좋네요 굳입니다  두꺼운거 안좋아하시는분들 좋습니다 ,fashion
남편이 사달라고 해서 사줬는데 만족해합니다  저렴하게 잘샀어요,fashion
가성비 진짜 좋은 상품입니다 촉감도 너무 좋네요 득템했습니다 감사합니다,fashion
좋긴한데 하루 입고나니 허리쪽 팔쪽 다 피어버렸음   ,fashion
상의     입는데 정사이즈로 주문  완전 잘 맞음  소재가 부드러워서 너무 편함 ,fashion
