reply,category
쌍둥이라서 많이 필요할거 같아서 가격 비교해보고 찾아보던 중    에서 제일 저렴하게 판매 하길래 대량으로 구매했어요  월부터 사용했는데 이제  팩 남았네요    ,kids
하기스 뭐 설명할거 있나요 저희 아이는 기저귀 발진이나 트러블 없어서 그냥 쭉 사용했어요 덕분에 기저귀는 유목민안해서 만족합니다  ,kids
  년도제조되고배송도나름적절하게왔네요,kids
배송잘옴박스에포장되서오던데잘쓰도록할께요 유통기한은안봄,kids
앞뒤 길이가 짧아서 한단계 업했는데 길이가 길게 나왔으면 좋겠어요 부드럽고 이 제품이 젤 좋은것 같아요,kids
발진없고 아이가 편안해해요,kids
쭉 이것만 써요 좋아요,kids
발진없고 아이가 싫어하진 않음,kids
배송 빠르고 좋아요,kids
발진없이 편안해해요,kids
늘쓰던거할인하길래훅삼,kids
매우좋습니다 앞으로도 자주 구매할거 같아요 매우좋습니다 앞으로도 자주 구매할거 같아요 ,kids
선물로 보냈어요  아기 태어나고 계속 이것만 쓴다길래 이걸로 사서 보내줬어요  좋아해주니 좋네요  ,kids
잘 받았습니다 감사합니다 ,kids
무난하게 사용하기 좋아요    리뉴얼 된거에 스타벅스 음료 쿠폰까지 챙겨주셔서 더 좋았어요 기저귀 디자인 그림은 단순해진것같네요,kids
하기스가 제일 좋네요 흡수력 짱,kids
소변을 많이 봐도 뽀송해서 아기가 발진이 없어요  오가닉두 있다고 하는데 굳이   네이처메이드만으로도 충분히 발진걱정없이 사용할수 있을꺼같아요 ,kids
발진때문에 조리원부터 하기스 집에서는 네이처 메이드로 사용중입니다 매직컴포트는 개인적으로 안맞아서 이 제품으로 계속 나갈듯합니다,kids
늘 쓰는 제품이라 이렇게 쌀 때 쌓아놓으니 좋으네요  ,kids
잘사용하도록할꺼요 이건세일할때사야되요,kids
배송 빠르고 저렴하게 구매 했어요,kids
흡수력 좋고 오래갑니다 ,kids
항상 주문하는거예요,kids
재구매해요 좋아요 좋아요 재구매해요,kids
믿고 구매하는 상품입니다 만족스럽습니다,kids
딱 맞아 좋습니다   ,kids
너무 좋습니다   ,kids
늘 주문하는 제품이에요 좋아요,kids
좋아요 재구매해요 좋 아 요,kids
저렴하게 구매해서 잘 쓰고 있습니다 ,kids
쭉 이것만 써요 좋아요,kids
마음에들어요감사합니다,kids
마음에들어요감사합니다,kids
마음에들어요감사합니다,kids
하기스가 너무 흡수력최고인데 할인자주자주 하면 좋겠어요   너무너무만족해요,kids
저렴하게구매했습니다 제품에만족하고 빠른배송도 만족이요,kids
하기스 할인한대서 좀 많이 샀어요   아기  갤        인데  단계 입습니다   팬티형은 좀 허벅지가 껴서 밴드형 사는 편 이예요,kids
싸게 잘 샀습니다    ,kids
 키로아기 낙낙하니 좋아요  ,kids
만족해요  늘 구매 하고 있습니다 ,kids
저렴하게 잘삿서요 너무좋아요,kids
조리원에서 사용하던거라 잘썼어요 ,kids
팬티주문해야 하는데 밴드 했어요  ,kids
밤 기저귀로 쓰기에는 흡수력이 약해요 쉬가 새네요,kids
배송빠르고 상품잘받았습니다,kids
잘 쓰고 있어여 저렴하게 샀어영,kids
늘 사용하던 제품입니다  만족해요 ,kids
늘 사용하던 제품입니다  만족해요 ,kids
마음에들어요감사합니다,kids
발진없이 잘쓰고 있어요,kids
자주 애용하는 물품 잘샀습니다,kids
사이즈딱맞게 잘쓰고있어요,kids
신세계가 젤저렴한거 같아요,kids
조리원에서 쓰던거 그대로 쓰든데 만족합니다,kids
잘 사용하고 있습니다 ,kids
늘 사용하던 제품입니다  만족합니다 ,kids
배송 빠르게 잘 왔습니다  ,kids
아기엉덩이가 뽀송해요  가격저렴하게 잘 구입한거같아요 ,kids
오랜만에 밴드형으로 샀는데 너무 많이 샀어요    팬티가 편하긴하네요 ,kids
필요하던차에 넉넉히 구매해서 뿌듯하네요 저렴하게 잘샀어요  ,kids
밴드형리 좋아요 팬티보다,kids
발진 없이 잘 사용중입니다 ,kids
기저귀 좋아요   ,kids
항상 이용하는 제품입니다,kids
항상 쓰고 있는 제품이에요,kids
쓱배송 편리하고 저렴하고 좋아요,kids
떨어질때마다 쟁여놓는 상품입니다,kids
행사할때 저렴하게 잘샀어요,kids
싸게 구매했습니다  ,kids
저렴할 때 잘 구매한 듯 합니다 번창하세요,kids
하기스 네이처메이드 부드러워요,kids
행사 때 저렴하게 구매해서 좋어요,kids
신생아때부터 사용해요  중간선물 들어와서 다른거 써봤는데 금방 써요    장 기본 응가싸면 그런데 요 세이브 블랙은 향도 은은하고 두께도 두꺼워서  장이면 오케이 세이브 블랙 만한게없어요 쭉   써야겠어요 쌍둥이 둘이라   팩 인데 오래써요 ,kids
앙블랑 제품중에서도 블랙 물티슈가 제일 좋은것 같아요 원단 재질도 좋고 물기도 적당하고 항상 구입하는 제품입니다,kids
질좋고 크고 도톰하고 전 이것만 씁니당,kids
행사에 좋은 가격으로 잘 샀어요,kids
항상 사용하는 제품으로 좋아요 다른제품을 사용 못하겠어요,kids
아이 어릴적부터 사용한 제품이네요  항상 믿고 주문합니다 ,kids
앙블랑 아기물티슈 세이프 블랙 캡형   매   팩       앙블랑 아기물티슈 세이프 블랙 캡형   매   팩       ,kids
토요일인데 다른건 다 안왔어도 이거만 왔어용    굿굿  앙블랑 좋다고해서 한번 써볼려고요  좋다는 아기물티슈 다 써봐도 하나둘 결점이 보이고 유명하다는 물티슈들도 다 뜯고 얼마 되지도 않았는데 중간에 물이 말라가고    도저히 정착이안되서  이번엔 물티슈유목민생활 제발 끝나길 바래봅니다  ,kids
애기엄마 필수템 선물로 좋아요,kids
좋아요 항상쓰던물티슈라 좋아요,kids
신생아때부터 계속 사용하는 제품입니다  두께감있고 사용감이 좋습니다  향이 없어서 맨살이나 다른 곳에 사용해도 괜찮아요 ,kids
꾸준히 사용중이예요  앙블랑 요거 안쓸수없어요  중독성있네요 도톰하고 향도 진하지않고 손에 잡히는촉감도 부드러워서 좋아요  흑진주  다른거보다 이거 추천이요  후회없어요 ,kids
첨에 쓰다가 선물들어와서 그것만써서 구입못하다   이제 구입합니다  역시 이만한 물티슈 없습니다  좋아요  부드럽고 잘닦이고 촉촉하고 두툼하고 향도 맘에들고  ,kids
앙블랑 마니 쓴대서 주문해봤어요  울애기한테도 잘 맞았음 좋겠어요,kids
도톰해서  너무 좋아요 이거쓰다 얇은거 못쓰겠어요,kids
좋아요 맛있어요 재구매의향있어요 신생아때부터 쓰던건데 지금   개월까지 쓰고 있어요 두께도 도톰하고 조카가 쓰던거길래 따라서 찾아볼필요없이 잘 쓰고 있어요 응가씻겨주지못할 상황에서 쓰고 거의 대부분 쓰는상황입니다 다른물티슈는 물따로 밖에 안써봐서 비교는 잘 못하겠지만 수분충분하고 별달리 유해하지않은것같네요,kids
비싸서 그렇지 항상 구입하는 상품입니다 ,kids
앙블랑 블랙이 제일 좋아요,kids
리뷰보고 믿고 써보겠음,kids
앙블랑물티슈 정말 좋아요 항상 이것만 주문해서 씁니다 ,kids
신생아때부터 사용해요  중간선물 들어와서 다른거 써봤는데 금방 써요    장 기본 응가싸면 그런데 요 세이브 블랙은 향도 은은하고 두께도 두꺼워서  장이면 오케이 세이브 블랙 만한게없어요 쭉   써야겠어요 쌍둥이 둘이라   팩 인데 오래써요 ,kids
좋아요   싸게 잘 샀네요  ,kids
애기 출산이 얼마 안남아 주문했어요 ,kids
아이 출산 때부터 계속 쓰는 제품이예요 ,kids
잘받았습니나 배송빠름,kids
항상 애용하고 있어요 ,kids
항상 애용하고 있어요 ,kids
좋아요 배송도 빠르구요   ,kids
늘 쓰는 앙블랑 블랙도 좋네요  ,kids
항상 쓰는 제품 입니다 좋아요,kids
항상 쓰던거에요  싸게 잘 샀네요,kids
두께도 도톰하고 재질도 좋고 물기가 과하지도않고 적지도 않고 적당해서 꾸준히 애용하는 제품이에요,kids
만족하고 사용했어요    ,kids
물티슈 도톰하니 괜찮네요 잘 쓸게요,kids
아기때부처 쭈욱 이것만 구매합니다 ,kids
배송 잘 받았습니다 ,kids
자주 구입합니다  ,kids
항상 쓰던거라 주문했어요 잘 받았어요  ,kids
빠른배송 너무너무 좋아요 언제나 만족합니다,kids
신생아때부터 계속 사용중이에요,kids
좋아요 좋아요 좋아요,kids
도톰하고 물기가 적당하면서 빨리 마르지않아서 좋아요,kids
두껍지도 얇지도 않고 적당한듯,kids
조금 두께가 있어서 한개로도 쓰기 좋아요 ,kids
도톰하고 레이온    좋아요,kids
좋어요 잘샀어요 편리하게 자주쓰고 있어요,kids
도톰해서 사용하기 좋습니다,kids
항상 앙블랑 이것만 씁니다  만족이에요 ,kids
일단 자극이없다니 이거만쓰게되요,kids
늘 사용하던 제품인데 이번에 냄새가 많이 나서 반품합니다 ,kids
늘 쟁겨놓는 물티슈입니다 좋아요,kids
아직 본격 사용전이지만 예전에 선물받아서 한 팩 받았을 때 굉장히 도톰했어요,kids
언제부턴가 정착했어요 촉촉하고 두툼하고 미끌거리지 않아서 좋아요,kids
태어났을 때부터 사용하던 물티슈라 계속 사용하고 있습니다,kids
항상 이용하는 제품입니다  똑 떨어지기 전에 구비해두는 상품,kids
이번에 무배라서 바로 주문 했어요 다른 물 티슈 보단 가격이 좀 있지만 그래도 써 본 중 제일 좋아요,kids
믿고 쓰는 앙블랑   항상 잘 애용하고 있어요 ,kids
두툼해서좋아요    ,kids
부드럽고 도톰해요  ,kids
앙블랑은 믿고 씁니다,kids
첫째때부터 앙블랑만 사용해요 블랙 화이트 카키 번갈아가면서 사용해요 ,kids
자주 구입합니다   ,kids
두께좋고 냄새없고 잘쓰고 있어요,kids
좋아요 좋아요 좋아요,kids
완전 좋아요 신생아때 사용했다가 다시 돌아왔습니다,kids
앙블랑만 사용합니다,kids
아기 티슈로 안심하고 쓰고있어요,kids
자주 구입합니다  ,kids
잘 받았어요 두툼하고 좋아요  ,kids
항상 믿고 쓰는 물티슈예요  도통하니 좋아요 ,kids
자주 사용하는 물티수예요 ,kids
출산준비하느라 구입햇어요 첫애때도 앙블랑만 썼어요,kids
수분이 빨리 날아가지않고 도톰한 두께에 오래동안 쓸수있는 제품 이에요,kids
다른 물티슈도 써 봤지만 앙블랑물티슈가 더 부드럽고 잘 닦여요 좋은제품 입니다 ,kids
아기때부터 쭉 쓰고있어요  자극도 없고 끈적임도 없어요  늘 만족스럽습니다,kids
빠른배소  감사합니다 잘받았습니다 기사님 수고하시네요   ,kids
도톰한 물티슈네요  아기때문에 구입했는데 잘사용하겠습니다,kids
부드럽고 자극적이지 않아 물티슈는 이것만 사요,kids
자주 구입합니다  ,kids
매번 쓰는 물티슈 저렴히 샀어요,kids
늘 쓰던 제품입니다  좋아요,kids
앙블랑만 써요 좋아요,kids
좋아요 순하고 도톰해요,kids
늘 사용하는 브랜드 아기 티슈입니다,kids
질 받았습니다 감사합니다,kids
아기물티슈로 항상 사용하는 제품이예요 만족합니다,kids
항상 앙블랑입니다 빠른 배송 감사합니다 ,kids
정말 짱입니다  꼭 사용하세요  ,kids
이 물티슈만 찾아서 오랜기간 사용하고있습니다 ,kids
잘받았습니다 감사합니다,kids
도톰하고 알콜향이 강하긴하나 손닦고나면 바로 날라가네요  다쓰고나면 재구매할거 같아요 ,kids
코로나 시대에 필수 아이템이 되었습니다 ,kids
배송 상품 다 마음에 들어요    ,kids
좋아요 외출 필수템이에요,kids
입에 손가락 들어갈 수 있는 유아에게는 사용하지 않는 게 좋을 것 같아요  성분이 성분인지라 증발한다 해도 특유의 향이 손에 남는데 혀에 닿으면 진짜 씁니다 ,kids
손소독에 좋으리라 샀습니다  그런데 향이 많이 강한 편이네요  에탄올 향도 독하긴 하지만    요즘은 향으로 사용되는 물질도 유해하다고들 하는데   코로나 때문에 안 쓰던 제품들 많이많이 삽니다   에휴,kids
배송도 좋고 포장상태도 좋아요 ,kids
재구매했어요  향균력 짱,kids
재구매했어요  좋아요,kids
항상 사용하는겁니다  편하고 요즘시기에 아주 유용합니다,kids
택배나 상품들 겉 소독용으로 사용하고 있어요  몇 번 재구매하고 있네요 ,kids
손녀 가방에도 제 백에도 꼭 넣어가지고 다녀요 알콜성분 때문인지 묵은때 지우는데도 아주 좋네요  ,kids
매장에서 낱개로 구매해 사용해 봤는데 손소독제 보다는 훨씬 편리하고 신뢰가는 회사의 제품이니 항균작용도 확실하게 할 것 같아 두박스 구매 했습니다 아주 든든합니다  ,kids
지인들 선물로 줬는데 유용하게 잘쓰인데요,kids
좋아요 요즘같은때에 아주 잘 쓰고있어요,kids
알콜 냄새가 너무 많이 나지만 살균효과가 확실하다고믿고 사용 중 입니다,kids
손소독티슈 추천해요  아가 용품 수시로 닦아주며 써요 추천합니다,kids
잘 사용하고 있어요 손소독티슈가 있어 외출에도 걱정이 없어요,kids
아이들 학교에서 필요해서 구입했어요 요줌은 꼭필요한 제품인거같아요,kids
요즘 딱 필요한 티슈 매장에서 낱개 구입후 너무 좋아 박스로 구입했어요 외출할때 참 좋아요   가격도 이마트가 가장 저렴하네요,kids
두고두고 쓸 생각으로 몇박스 쟁여 놨어요 외출시에 꼭 챙겨야될 필수품이죠 저렴하게 잘 샀어요,kids
향이 좀 강한데 그래도 보습까지 되고 좋네요   ,kids
세정 능력이 정말 좋습니다,kids
지인들께선물했더니 너무 좋아하셨네요,kids
코로나 초기라 저렴하게 구입했어요 ,kids
잘받았어요  빠른 배송 감사합니다,kids
종이는 두꺼워서 좋은데 향이 너무 독해요   ,kids
냄새가 독해요 티슈라편해요,kids
저렴함 가격에 구매해서 좋아요,kids
배송 빠르고 너무 좋아요,kids
아이와 함께 쓰기 좋아요,kids
  매 소포장이라 좋아요  요즘같은 시기에 필수품 ,kids
그린핑거라 믿고 구매했어요  그런데  소독제가 들어 있어서인지 향이 좀 강하긴 하네요 ,kids
손소독제 보다는 휴대가 편하고 좋아요 박스채 구입해 놓으니 든든합니다,kids
에탄올이 주라서 샀는데 향이 강하네요  그래도 티슈 질은 좋아요  도톰해서 손이 잘 닦여요,kids
좋은데 입구가 캡이 있으면 편할듯 하네요,kids
배송빠르고 너무 좋아요,kids
좋은데 냄새나 너무나 강해요 깜놀,kids
코로나   물리쳐줄 물티슈,kids
어렵게 구한상품 감사합니다,kids
배송 빠르고 너무 좋아요,kids
좋은 상품 저렴하게 구입했습니다  만족합니다 ,kids
믿고구입했어요 역시좋습니다,kids
밴드형부터 사용하고 있는데 네이처메이드나 매직드라이 보다 얇아서 아기가 덜 답답하지 않을까싶어 사용하고 있는데  옆에 벨크로 부분이 신경쓰여요  가끔 입히다 제 손에 쓸리기도 하는데 아기한테도 그럴까 싶어 걱정이 될 때가 많습니다 ,kids
겨울철에는 발진도 안나고 좋앙 가성비좋습니다 또살께요,kids
고객상대하는 판매업체 직원 태도가 너무 별로네요 ,kids
흡수력이 좋은 제품이라 뽀송뽀송 좋아요,kids
흡수력이 좋은 제품이에요,kids
좋아요 좋아요 좋아요,kids
배송도 빠르고 사용도 편리합니다 배송도 빠르고 사용도 편리합니다,kids
늘 쓰던 하기스인데 아기가요사이즈는 조금 불편해하네용,kids
항상 잘 이용하고 있습니다,kids
좋아요 좋아요 좋아요,kids
배송도 빠르고 사용도 편리합니다 배송도 빠르고 사용도 편리합니다 ,kids
매번 울 아기한테 구매합니다  ,kids
좋은 상품으로 빠르게 배송해주셔서 감사합니다,kids
싸게 잘 샀어요  팬티형여도 매직테이프가 뜯어졌다 붙여졌다해서 좋아요,kids
신제품이 기존보다 좀더 슬림한 느낌이라 일부러 신제품 사서 입혀요,kids
그냥 저냥 무난 한 기저귀,kids
배송 빠르고 잘 사용하고 있습니다,kids
좋아요 항상 쓰고 있어요,kids
좋아요   개월동안 하기스만 쓰고있어요 ,kids
기저귀 발진없이 잘 사용하고있어요 ,kids
    할인제품으로 득템했어요,kids
좋아요 저렴하게 구매한듯,kids
기저귀 미리 쟁여두려고 사요,kids
잘 받았습니다  만족합니다 ,kids
항상 애용하는 제품중 하나  ,kids
신생아때부터 쓰기에 앙블랑이 젤 좋은듯,kids
앙블랑 물티슈 카키 도톰하고 좋아요 ,kids
아기 물휴지는 언제나 앙블랑 ,kids
좋아요 이거만사용해요 두껍고 촉촉합니다,kids
무향이라 좋고 두꺼워서 좋아요 ,kids
냄새도 안나고 좋아요 두께도 좋구요,kids
좋아요 이것만쓰고있어요,kids
정말 도톰한 물티슈,kids
항상 앙블랑 사용 중이에요 좋아요,kids
도톰해서 좋아요  잘 쓸게욥,kids
항상 구매하는 상품입니다 ,kids
베베숲 물티슈 블루를 몇년째 쓰고있는 사람입니다  리뷰 처음 써보는데   정말 정말 좋아서 리뷰 남겨요   우리집 온 가족이 사용하는 제품은 시그니처 블루 인데요  두툼하니 엠보싱도 너무나도 좋고 수분도 많아서 좋아요  청소할 때도 좋고 부드러워서 얼굴에도 부담없이 사용할 수 있었어요  무엇보다도 잘 찢어지지도 않아 여러장 안써도 됩니다  다른 물티슈들은 얇고 수분이 금방 날라가서 여러장을 써야하더라고요    돈이 더 나가는 것 같아요    하지만 베베숲 물티슈는 진짜로 여러장 안쓰고 한장만써도 충분히 사용이,kids
     에서만 구입하다가 가격이 너무 고무줄같이 바뀌어서 화가나서 여기에서 구입했어요  당연히 가격차이도 많이 나더라구요  두께도 두툼하고 물기도 적당하고 관찮네요  근데 한가지 개인적으로 향기 물티슈 특유의 향이 쫌 진하게 나는듯  얘기들도 쓰는 제품이라해서 믿고 써봅니다  레드도 한번 구입해 볼려구요  요새 집에 나이불문하고 물티슈 없는집 없잖아요  베베숲 가격별로 종류도 많던데 정착해서 계속 써볼려구요 ,kids
