reply,category
빠른배송에 가격대비 너무 좋아요,refresh
맛있어요 맛있어요   ,refresh
존맛간식으로줏어먹기쭈음,refresh
언제나 빠른배송 감사합니다 할인받아서 더욱 좋아요,refresh
좋아요 ,refresh
냉장고 필수 구비템  ,refresh
생각보다 양이많아서 놀랏습니다 잘먹고잇습니다,refresh
원하는 시간대에 배송되어 만족해요  가성비 좋아요  자주구매해야겠어요  아이 간식옹으로 갈아주면 좋아요,refresh
아이가 너무 좋아합니다  항상 냉동실에 챙겨둬요,refresh
이번에 샀는데 좋아요 ,refresh
최고예요 ,refresh
달달하고 크기도 커서 즐겨먹어요,refresh
잘받았습니다  감사합니다 ,refresh
맛있어요 맛있지요,refresh
아거 있으면 아이스크림 팔요없어요,refresh
감사합니다 구웃입니다,refresh
계속 재구매하는 제품입니다  언제든 간편하게 먹을 수 있어 좋습니다 ,refresh
간편하거 먹을 수 있어서 좋습니다  저희집 냉동실 필수품입니다 ,refresh
약간 비릿한 맛이 느껴집니다   ,refresh
살짝 녹여서 먹으니 맛있어요,refresh
빠른배송에 가격대비 너무 좋아요,refresh
맛이 좋아요  냉동실에 쟁여두고 먹고 있어요 ,refresh
애플망고 넘 맛나요 달콤달콤,refresh
딜콤하고 맛있어요 녹으면 더 달아요,refresh
항상구매하는상품입니다 ,refresh
빠른배송감사합니다 가성비갑  ,refresh
맛있어요 감사합니다,refresh
애플망고 너무 맛있어요,refresh
냉동망고 맛있어요  전에 다른걸 먹다 품절이라 리뷰보면서 주문한건데 이게 더 달아요 망고는 직접 잘라 먹기도 힘든데 이렇게 먹으니 좋아요 ,refresh
냉동 망고 치고는 괜찮은 거 같아요,refresh
맛있습니다 가격이 아쉽네용,refresh
냄새가 나서 못먹었어요  쨈으로 만들어 먹으려구요     ,refresh
맛있어요   간식으로 먹기에 좋아요,refresh
항상 구매해서 잘쓰고 있어요 ,refresh
항상 구매해서 잘쓰고 있어요 ,refresh
잘먹었어요    감사합니다    감사합니다   ,refresh
망고가 가장 맛있어요,refresh
여기 애플망고가 가장 달아요,refresh
깔끔하고괜찮아요  새콤달콤 요거트에 조아요,refresh
먹다가 아이가 머리카락 나왔대서  ,refresh
최고예요 ,refresh
망고 체고에요 양도 많고,refresh
애플망고가 원래 맛 없는 망고임  사이즈만 클뿐  별로 기대하면 안됨,refresh
제품 품질 포장 배송에 만족합니다 다음에도 좋은 제품 합리적인 가격에 구매 기대합니다,refresh
아이들이 맛있다고 잘먹어요,refresh
자주 이용 구매합니다 ,refresh
달달하니 맛있어요    ,refresh
냉동망고중에 젤 나은듯  플레인 요거트에 섞어먹으면 달달함,refresh
잘 받았습니다  감사합니다  ,refresh
딸아이가 좋아해서 구매 했어요,refresh
저렴하게 구매했어요,refresh
좋아요 ,refresh
애플망고 너무 맛나요,refresh
상품 잘받았습니다  배송도 원하는 시간에 맞춰 빨랐구요  많이 파십시요  감사합니다 ,refresh
냉동망고는 다 거기서거기 같아서 가장 가성비 좋은것으로 삽니다 ,refresh
냉동망고 요거트 조금 넣고 갈아마시면 망고스무디  굿  ,refresh
그릭요거트에 토핑해서 먹기 좋아요  시리얼과 함께 먹어도 좋구요,refresh
그릭요거트에 토핑으로 좋아요,refresh
냉동망고를 반쯤 녹여먹는 재미에 요즘 자주 사먹습니다  쓱배송으로 문앞에서 받네요 ,refresh
착한가격에 잘샀습니다    굿입니다 굿굿,refresh
냉동고에 쟁여놔요 망고,refresh
늘 쟁여두는 제품 망바쥬스에 굿,refresh
좋아요 좋아요좋아요,refresh
좋아요 좋아요좋아요,refresh
애플망고도 냉동 조아요,refresh
맛 좋고 먹기 편해서 자주 구매합니다 ,refresh
비린내가 나서 못먹겠어요,refresh
편하게 받았습니다 감사합니다,refresh
늘 잘쓰고 있어요 좋습니다 ,refresh
당도도 좋고 양도 착해요  ,refresh
항상애용합니다 항상애용합니다,refresh
배송 잘 받았습니다  잘 먹을게요,refresh
항상이용해요추천합니다,refresh
망고 색갈 크기도 타제품에비해 좋습니다,refresh
스벅에서 파는 망고 주스를 집에 언제 나 해 석을수 있어요,refresh
크기도 괜찮고 맛있어요,refresh
자주 애용하고 있어요,refresh
냉동망고 중에는 이 제품이 제이,refresh
망고 주스 만들어 머긍면 너무 많이 어요,refresh
냉동 망고 잘 먹고 있어요 ,refresh
아이들이 맛있다고 너무 잘먹네요,refresh
배송이빠르고정확합니다,refresh
항상 이용하는 제품입니다,refresh
맛있게 잘 먹었습니다 ,refresh
저렴하고 품질이 괜찮아요 ,refresh
위쎈으로 요거트만들어 토핑 으로 혹은 식후입가심으로 먹어요,refresh
항상 구매합니다 좋아요,refresh
냉동 애플망고 아이스크림 처럼 먹으니 달고 맛있어요,refresh
저렴하게 구매했어요,refresh
쓱배송이라 편하고 좋아요,refresh
맛있는 곶감이었어요,refresh
무난하고 괜찮은것 같습니다,refresh
맛있고 좋으네요  ,refresh
실하고 맛있어서 여러번 재구매 중이예요 ,refresh
달달한 곶감이에요  제수용으로 사용,refresh
곶감 맛있는데 주문할태마다 꼭 한두개는 이상한게 있네요,refresh
상품에 만족합니다     ,refresh
곶감중에 제일인듯해요 임신중인데 자꾸 찾게되네요,refresh
맛있습니다 추천합니다,refresh
제수용으로쓰려고샀는데가격에비해좋은상품은아니네요,refresh
파손 없이 잘 왔습니다 ,refresh
간식으로 아주 좋아요 맛있어요,refresh
최고예요 ,refresh
많이달진않지만 좋아요,refresh
좋아요 감사합니다   ,refresh
맛난거 잘 먹었습니다 재구매 희망,refresh
와 넘 맛있어요     인터넷에서 좋다고 시킨것도 이제품보다 못해요    건시  제가 찾던 맛이네요  크기도 좋고 맛또한 훌륭해요  또 주문할수있게 제품공수바랍다  ,refresh
기대했던 것 보다는 맛도 크기도 그냥 그래요  세일가에 사서 만족합니다 ,refresh
맛있게 잘먹었어요 맛나요,refresh
곶감이 크고 실하네요 조금만 저렴하면 좋겠어요,refresh
맛있는 곶감이었어요,refresh
꽂감 진짜 달고맛있어요 또구매예정,refresh
크고 밋있고 가격도 착한데  이런 건 선물용 아니니까 플라스틱 포장용기좀 빼주세요  그냥  설탕봉지같은 비닐지퍼백으로 충분하잖아요 그래서 별 두 개 뺍니다  곶감은 죄가 없어요,refresh
수정과에 띄워 먹었는데 너무 맛있어요,refresh
맛도 없고 질기기만하니 타이어같아요,refresh
나쁘지는 않은데 그냥,refresh
제사하려고 주문했어요,refresh
좋네요좋아많이파세요   ,refresh
크기도 크고 맛있습니다,refresh
품절 풀리자마자 구입했어요 넘 맛있어요,refresh
너무 달고 맛나요 추천드려요,refresh
감사합니다 잘먹을게요,refresh
굿  싱싱 하고 맛있어요 자주 올려 주세요 ,refresh
쿠폰사용가능 쓱배송 만족 쓱배송 만족,refresh
늘 애용하던 제품이에요  ,refresh
달콤하고 쫀득하고 맛있어서 좋네요,refresh
동생 집 선물로샀어요  ,refresh
큼직하니 먹기좋고 맛나요,refresh
신선제품 쓱배송 좋아요  ,refresh
자주 주문하는 상품입니다 쓱배송 만족합니다,refresh
제사때 쓸려고 매번 삽니다   이쁘네요  맛도 괜찮고   ,refresh
좋아요 만족합니다 추천해요,refresh
맛있어서 재구매합니다 ,refresh
포장상태도 좋았고 배송도 좋았어요,refresh
촉촉하지 않아서 좀 아쉬웠어요,refresh
차례때 사용할려고 구매했어요,refresh
말랑말랑 곶감 맛있어요,refresh
잘받았어요 주문하니 편함,refresh
딱딱하지않고 맛있어요   ,refresh
좋아요 좋아요 좋아요,refresh
제사에 쓰려고 주문,refresh
좋아요 아주 좋습니다,refresh
괜찮습니다  또 이용할 생각입니다 ,refresh
괜찮습니다  또 이용할 생각입니다 ,refresh
작년에 만든거래요    년 전   ,refresh
가성비가 좋습니다 ,refresh
저렴하게 구매했습니다 ,refresh
잘받았습니다 빨리왔어요,refresh
크고 상태도 좋았어요,refresh
단감 맛있었어용 쫀득쫀듯 유통기한 오래     보관 잘하신듯,refresh
제사용으로 주문했는데 크고 맛있네요,refresh
괜찮은 상품입니다 ,refresh
매번 구매하는 상품이에요,refresh
제수용으로 구입했어요,refresh
크고 신선하고 좋아요,refresh
깨끗해서 제수용으로 좋아요,refresh
자주구매해요 추천해요,refresh
곶감 달고 맛있어요,refresh
저령하게 구입했어요 ,refresh
최고예요 ,refresh
오   찮네요    곶감 먹고 렙   주문했는데 달달하니 굿굿,refresh
특대 사이즈는 아닌걸로요,refresh
자주구매해요 괜찮네요,refresh
좋아요오오오오 재주문할개요,refresh
비싸지만 맛은 완전 존맛탱임 ,refresh
배송해주시니 진짜 너무 좋아요  다만 비닐포장이 너무 과합니다   대기업에서 앞장서서 비닐사용을 줄여주세요  재사용도 어려운 비닐이라  ,refresh
상주하면 곶감이죠 적당했어요,refresh
상주곶감 특대   입 팩        맛있어요,refresh
깨끗하고 맛있아요 ,refresh
꾸득한것조 있고 반건조같은것도 있어요 달고 맛잇어요,refresh
아이들이 좋아해요 ,refresh
가을이 되면서 기다리고 기다리던 곶감 간식을   맛있어요 ,refresh
한 개는 곰팡이 보여서 버렸어요,refresh
크고신선하고 깨끗하고 맛있어요 식감도 부두러위서 좋았어요,refresh
곶감은 처음 구매하는거라 걱정했는데 맛있어요,refresh
맛있는 상주곶감이고 상하거나 곰팡이 없어서 좋습니다,refresh
달고 맛있었어요  ,refresh
말랑말랑하고 쫀득하며 부드러운 곶감의 맛이 최고입니다,refresh
아이들 간식용으로 종종 사요,refresh
곶감 너무 달고 맛있어요  앉은 자리에서 다 먹겠어요,refresh
키위 비타민 풍부하다고 해서 먹어여,refresh
바로먹어도 달고 맛있게 먹었어요 ,refresh
향상 이용하는 제품입니다 잘받았습니다,refresh
키위 상태좋았어요 달아서 잘먹었어요,refresh
 개 중에  개는 물컹물컹    늦은 주말 밤이라 반품도 귀찮고  개는 그냥 버렸습니다 ,refresh
먹어보고 괜찮아서 재구매,refresh
나쁘지 않은 퀄리티입니다 ,refresh
후숙키위맛있음 가격도적당,refresh
주스로 마시고 잇어오,refresh
늘 구매하는 제품입니다,refresh
키위 비타민 풍부하다고 해서 먹어여,refresh
후숙 그린키위라 바로 먹기 좋아요,refresh
잘받았습니다 감사합니다,refresh
잘받았습니다  감사합니다 ,refresh
쓱 주문 바로 다음날 받아 보고 조아요,refresh
신선하게 잘 배송되었습니다,refresh
항상 구매합니다  아주 좋아요 ,refresh
후숙은 별로 안되서      먹을만했어요,refresh
맛있어요 맛있어요 ,refresh
후식으로 먹으면 소화가 잘 되는 느낌,refresh
잘받았어요 종종 구매해요,refresh
향상 이용하는 제품입니다 잘받아습니다,refresh
크기도 크고 싱싱하네요  ,refresh
그린 키위는 조금 시네요  다음엔 골드로   ,refresh
후숙이라서 빨리 상함,refresh
키위 싱싱한걸로 왔어요,refresh
좋아요 좋아요 좋아요,refresh
키위정말 맛나요  최고,refresh
배송빠르고 물건도 좋아요,refresh
골드 키위만 사다가 주스용으로 상큼하게 처음 도전해봤는데 재구매는 안할 듯   골드보다 그린은 껍질에 털  같은거도 너무 길고 많고 냉장고 안에 털빠짐  부스러기도 넘 많고   새큼한 주스도 좋아하지만 이건 별로인거 같아요  취향차이인 듯 ,refresh
맛나요 아주좋아요좋음,refresh
글쎄요 생각보다는 달지 않음,refresh
늘 구매하는 제품입니다 맛있습니다 ,refresh
후숙해서 먹었습니다 굿,refresh
물컹한게 몇개 있는데 맛은 좋아요,refresh
맛있게 먹었어요  ,refresh
정말 달고 맛있었어요 ,refresh
배송 잘 받았고 상품 좋아요,refresh
괜찮았던것같아요오오,refresh
키위 좋아해요 좋아요,refresh
바로먹는 후숙 그린키위,refresh
좋은 제품을 좋은 가격에 구입했어요 ,refresh
맛있었어요 잘 먹었습니다 ,refresh
맛있게 잘 먹겠습니다 상품 좋아요,refresh
자주 구매하는 상품입니다 ,refresh
항상 믿고 구매합니디  만족해요 ,refresh
신선했습니다 잘먹었습니다,refresh
점보키위보다는 덜하지만 맛있어요 ,refresh
맛있어요 후숙이라 금방 잘익었네요,refresh
몸에 좋은 키위는 항상 냉장고에 있어야죠,refresh
후숙이 지나쳐 물컹하네요,refresh
안 익어서 와서 달달함도 부족했지만 신선은해요,refresh
맛있고 조아요 또샀어요,refresh
엽산섭취를 위해 구매합니다,refresh
