reply,category
  년   월   일 매장 픽업 주문    일 바로 픽업해 왔는데 언박싱 전 박스에 적힌 제조년월을 보니   년  월로 되어 있네요,digital
좋은 금액으로 잘 샀어요  픽업 상품이다보니 배송 걱정도 없고 날짜 시간 예약만 하고 바로 받을 수 있어서 좋았습니다 아이패드보다 빨리 픽업해서 얼른 써보고 싶었는데  써보니까 역시 필기감도 좋고 마음에 듭니다 ,digital
  애플 펜슬  세대                이번에 새로 구입한 애플 아이패드 에어 세대를 위해 애플 펜슬 세대를 새로 구입했어요  해외 직배송으로 구입하려니 기다리는 시간이 너무 지루하기도하고 아깝워서  또한 정품인지도 살짝 불안하기도 하고      열심히 찾아보던 중에    에서 이마트  스토어  픽업 상품으로 카드 청구할인까지 받아서   만 천원에 구입   웬만한 해외 직배송 상품보다 저렴하게 구입하면서 정품이라는 믿음까지 챙겼어요   일요일에 주문해서 월요일에 상품이 준비되었으니 찾으러 오라는 알림을 받고 곧장 집,digital
카드할인 할 때 사면 저렴하게 구매 할 수 있어서 좋아요     픽업할 때 주의사항 많이 알려주시는데 한번 까면 이마트로 반품이나 초기불량교환도 안된다며 근처 서비스센터 알려주시더라고요     약간 불안했지만 양품이었습니다  이마트 내에 있는 리셀러 삽에서 이리저리 제품 체험해보고 구매할 수 있어서 좋았어요  픽업만 하러 가서 주차비 나오면 어쩌나 했는데  이야기하면 주차권 끊어주시더라고요   아이패드 배송 전이라 동료 아이패드에 연결해서 사용해봤는데  글자 삐침이 좀 있어서 슬프지만   적응,digital
역시 아이패드에는 펜슬이 필수인것 같습니다    왜 패드 구매할때 같이 안구매 했었는지 후회될 정도로 신나요   그림그릴 용도로 샀습니다  강화유리 필름 쓰고 있는데요  생각했던 필기감 그대로라서 뭐가 나쁜지 모르겠어요   일반 펜을 든것처럼 그립감도 좋고  글씨도 잘 써지네요   배터리 잔량이   라 조금 뜨헉 했지만  배터리 충전되는게 눈에 보일정도로 빠르게 충전되서 이상제품인지 알아보려고 검색해봤어요    분 충전하면   시간 정도 사용 가능하다고 하니  오래오래 쓸 것 같아요    대신 블루,digital
근처 이마트에 가서 직접 수령해 왔어요  택배로 기다릴 필요 없이 바로 수령할 수 있어서 좋네요  픽업전용 처음 이용해 보는데 자주 이용할 거 같아요  에어  아이패드 구매해서 애플 펜슬  세대가 필요했는데 애플 공식 사이트에 들어가서 정품 확인 후 오픈해서 잘 사용중에 있습니다  추천해요  ,digital
탭이랑 패드 중 고민하다 에어  구매했습니다  한글을 쓸때 필기감은  펜이 더 좋은거 같아요 하지만 영어나 애플펜슬이 그림그리기엔 더 좋은거 같아요,digital
준비완료 문자가 픽업 시간  시  시 보다 일찍와서 받으러 갔는데  시가 돼야 받을 수 있다고 해서 시간이 조금 떳네요   청구 할인 적립까지 알차게 사용해 구매했습니다,digital
매장픽업이라서 조금 번거롭기는 하지만 가격도 저렴하고 정품도 확실해서 좋습니다,digital
픽업했구요 새상품으로 잘 받았습니당 다만 픽업되는 매장이 생각보다 적어서 아쉬웠어여 조금 멀리 원정  가야 했거든용 그래도         픽업 상품들 편리합니다 상품이랑 매장 더 많이 늘려주세여 ,digital
