reply,category
듀엘을 이 가격에    키가 큰편이라 리뷰보고 짧을까 고민했지만 원하는 길이라 오케이   겉감이 약간 광이 나지만 촌스럽지는 않아요 여우털이 완전 고급스럽고 허리 벨트도 괜찮아요,fashion
슬림해보이고 구스라 가볍고 따뜻해요 모자에 달린 퍼도 풍성하고 예뻐요,fashion
너무 좋네요   가격도 좋고   듀엘 옷 이뻐서 잘 입었었는데 득템했어요  ,fashion
색이 실제가 더 이  요,fashion
좋은가격에 사서 만족합니다   ,fashion
예쁘고 좋아요  배송도 빠르고 옷이 가벼워요 ,fashion
예쁘게 잘입을거같아요  ,fashion
좋아요 부해보이지 않고 가볍습니다,fashion
가격도 착하고 너무너무 마음에들어요 감사합니다,fashion
옷 예쁘네요 마음에 들어요 잘입을게요,fashion
세일해서 딸도 사줬는데 넘 맘에 들어 하네요 가볍고 따뜻하고 슬림해보여서 좋데요,fashion
착용감 좋고 잘 맞아요,fashion
최고예요 ,fashion
베이지 색상 괜찮아요  촉감이 부드럽고 사이즈도 여유있어 조아요,fashion
좋아요 추천합니다 추천합니다 추천합니다,fashion
부드럽네요 이너로 입기 좋겠어요,fashion
어무니 선물해드렸어요,fashion
부들부들해서 입기 좋아요,fashion
만족스러운 상품입니다,fashion
촉감이 너무 부드러워요  자주찾게 되는 옷입니다 ,fashion
부드럽고 좋아요  ,fashion
사이즈 적당하고 부드러워요,fashion
부들부들 촉감좋아요,fashion
부드럽고 따듯하고 만족스러운 상품입니다,fashion
빠른 배송 감사합니다 ,fashion
부드럽고 사이즈 넉넉하니 편안하게 입을거 같아요,fashion
감촉이 부드럽고 편합니다,fashion
좀 어둡지만 따스하고 촉감이 보드랍내요,fashion
넉넉하니 이쁘고 좋아요,fashion
부드럽고 편하게 입기 좋아요,fashion
부들한 소재   아이보리는 약간 노란빛이 돌아요 ,fashion
그레이 품절 이라 베이지 구매 했는데 만족합니다,fashion
스판 좋고 허리 밴딩처리로 넘 편해여,fashion
이쁜데 통이 넓고 기모라 따뜻해요,fashion
많이     틸   안감 두껍지 않아  활동편해요 ,fashion
편하구 좋아요 길이가 딱좋아요  ,fashion
편해요 정말  색은 겨울에 잘 어울리는 진청이네요 ,fashion
좋아용 좋아요 잘입을께요,fashion
기모가 있지만 아주 편해요,fashion
원단이 짱짱하고 두꺼운편이에요  하지만 불편하지 않고 부드러워요  경량패딩 안에 입고 나갔는데 더워 죽는줄 알았어요  ,fashion
선물로 보내줬고요  유용하게 잘 쓰길 바래봅니다  ,fashion
부드럽고 색상 배열이 맘에 들어요,fashion
니트 잘 입고 있습니다,fashion
항상 구매하는 제품이예요 ,fashion
편하게 입기 좋아요  줄무늬는 언제나 진리,fashion
생각보다 넘넘 예뻐요   선명해서 이쁩니다 ,fashion
디자인 기장 넘 좋아요,fashion
좋아요 좋아요 좋아요,fashion
생각보다 두껍고 질이 좋아요 이뻐요,fashion
질 진짜 좋고 폭닥하고 너무 이뻐요 퀄 리티진짜 좋음 ,fashion
너무부드럽고 예쁘고도톰해요 잘산것같아요,fashion
길이가 짧기는 해도 예쁩니다  맘에 들어요,fashion
그럭저럭 입을만한거같아요 부드러워서 쏘쏘하게요,fashion
기대했던것처럼 예뻐요,fashion
핏이 예쁘고 부드러워요,fashion
부드럽고 지금 입기 딱 좋아요,fashion
진심 최고짱으로 이뻐요 기다린 보람 있네용,fashion
정말 부드럽고 따뜻해요 ,fashion
니트 두께 적당하고 예뻐요,fashion
너무 예쁘고 마음에 듭니다,fashion
생각보다 예쁘네요  사이즈는 널널해서 핏 되는 느낌보단 귀엽게 입는거네요,fashion
예뻐요  따뜻하고 부드럽고 다른색도 살까 고민중이에요  ,fashion
이뻐보여서 샀는데  딱 저 이미지 만큼이예요  부드럽고 하긴한데 생각보다 두꺼워요 ,fashion
부드럽고 넉넉해서 입기 좋아요 니트라 보풀은 ,fashion
다들 너무 예쁘다고 합니다    니트는 역시 나인   재질 너무 부드럽고 맨살에 입어도 너무 부드럽습니당    다들 얼릉 구매하세요 ,fashion
길이가 짧아요   ,fashion
목이 많이 파여서 단독으론 못 입어요,fashion
조긍 크짐   이뻐요 편하고,fashion
옷 넘 이뻐요  좀 까실한데 그래도 이뻐서 만족,fashion
허리 라인이 슬림하게 잡혀있어서 날씬해보여요,fashion
예쁘긴한데 라인이 좀 더 들어갔으면 좋았을거같아요 단아해보이고 귀여운데       입으시는분들은 약간 어벙벙한 느낌이 있긴해요,fashion
까끌거리는 거 못입는데 진짜 부드러워요,fashion
