reply,category
  가격 노브랜드 다운 저렴한 가격에 구매하게 되었습니다    퀄리티 저렴하지만 패키지 디자인도 귀엽고 딱히 싼 느낌은 없습니다  저는 그냥 상 닦고  청소하는 용으로 샀기 때문에 특별히 고퀄리티일 필요는 없어서 만족합니다  무난하게 생활속에서 사용하기 좋을 것 같습니다    향 아주 약간의 상큼한 향이 나는데  레몬향 주방세제랑 향이 비슷한걸로 봐서 그런 시트러스 계열의 향인 것 같습니다    팁 캡 안에 스티커는 사용 시 제거해 달라고 적혀있는데 보관할 때는 다시 붙여놓는 것이 보다 촉촉하게 오래 쓸 수 있습니다 ,kids
물티슈중 제일 저렴한듯   ,kids
너무 얇고 넓이도 좁고  ,kids
이건 솔직히 추천 못하겠어요  노브랜드 제품 보통 좋은 데   소 천냥 백화점 것보다 못하다니     아쉽네요     의 노브랜드 제품은 성능 좋던데   이건 다시 재구매 못할 것 같아서 죄송하지만 별  개 솔직히 별  개 한 것은 처음이라 저도 민망하군요 근데 다른 고객님들도 이것 사고 후회 하실까봐   이건 한번 구매 하고 끝    완전 얇아요  이렇게 얇은 것을 과연 물티슈라 부를 수 있을지 싸이즈 작고요  두께감 거의 없어요   솜 늘릴때 텅텅 비는 것 처럼   궁금하신분은 실물 구매하시고 실망하길 것 같네요 ,kids
처음 구매해봤습니다  가격이 너무 저렴해서 구매해봤습니다  사용해보고 괜찮으면 또 구매할꺼에요  ,kids
얇아요   근데 물티슈를 자주 사용하다보니 두툼한 것 보다 양많고 저렴한게 좋더라구요  조금만 더 두께가 있으면 좋겠지만    얇다고 잘 안닦이는 건 아니니까요  그냥 아무데나 막 쓸 때 잘 사용합니다,kids
향도 나고 그리고 물티슈에 대한 것이지만 적당한 양이 조절 되어 있어 사용하기에는 편리하네요 ,kids
   원정도면 싸게 잘 샀네요   얇고 막쓰기 좋습니다  부피가 크지않아 휴대하기도 괜찮네요,kids
물티슈가 집에서 떨어지면 불편해요   개 정도는 무조건 쟁여두는 거 같아요  이번에는 기존에 쓰던거 말구 노브랜드꺼 사봤는데 괜찮을거 같아요 ,kids
노브랜드 물티슈 캡형    매 얇고 크기도 작고  간단하게 쓰기좋고 애들 학교에서 쓰라고 챙겨 줄때도 있고 ,kids
후기에 도톰하다는 후기들보고 구매했는데   음   딱 그가격만큼이요  도 톰 아니에요 얇습니다   세로로 잘 늘어나는 재질이며 물티슈뽑다 걸리면 그냥  장써야되요  진짜 휴대용으로 쓰는 물티슈입니다  과자먹고손닦을때  부스레기 닦는 딱  그정도용도에요  수분정도는 보통이며 흥건하지않습니다  손에 물기안남아요  솔직리뷰였습니다  바램이지만 노브랜드도 평량  이상되는 저렴이 물티슈 나왔음 좋겠네여 ,kids
다른시중 물티슈는 첨가물이 많아 화장 지우는 물티슈 용도로 느껴지는데 그냥   고 쓰는용도로 쓰기엔 안심되는 느낌이라 자주 산다  너무 좋다  식탁에도 차에도 쇼파앞에도 주방에도 책상위에도 무조건 무조건이다  안보이면 쬐게 불안     ,kids
