reply,category
맛은 있는데 이틀만에 곰팡이 귤들이     ,refresh
두개가 상했네요 맛은 싱겁네요,refresh
맛도 크기도 좋아요  재구매 의사 있어요 ,refresh
굿 늘구매하던거입니다 굿굿,refresh
크기가 너무 자잘했지만 신맛이 적고 달콤했어요 싱싱합니다,refresh
세일중이라 저렴하게 구매했어요 당도선별 되어서 달콤하고 맛있네요,refresh
귤먹어보고 너무달아서 깜놀 껍질얇고 완젼맛있어요 ,refresh
신선하고 맛나요 쏙배송 으로 주문하니 편하네요,refresh
세일해서 한박스 샀어요,refresh
늘 구입하는제품입니다 좋아요,refresh
귤이 새콤달콤 맛있네요,refresh
맛도 좋고 할인 때 저렴하게 구매했어요,refresh
생각보다 달지않고 껍질도 얇은편은 아님,refresh
크기는 크지 않지만 새콤달콤 맛있어요  살짝 무른 감이 있어서 얼릉 먹을려고요  가격대비 만족해요 ,refresh
배송상태 좋아요  늘 구매합니다 ,refresh
상품이 신선하고 좋아요 재구매의사 있습니다 ,refresh
달고 상한거    개  정도됐어요,refresh
이상품의어떤점이좋았나,refresh
많이 달진 않지만 새콤달콤한 것 좋아하는 가족은 잘 먹네요 ,refresh
잘먹었습니다 감사합니다 많이파셔요 맛있어요,refresh
당도 높고 크기도 적당해서 만족입니다,refresh
만족해요 만족합니다,refresh
행사 가격으로 저렴하게 샀는데 상태도 좋고 새콤 달달하니 맛있습니다,refresh
당도가살짝아쉽고 조금마른거같아요 저렴해요,refresh
신선하고 좋네요 추천,refresh
귤 오래 둘수록 맛이 달아요 잘 먹어서 재구매 합니다 ,refresh
달고 맛있네요 좋아요,refresh
작지만 귤이 달고 맛있어요,refresh
쓱배송으로 편하게 구매했어요,refresh
배송도 빠르고 제품도 만족해요,refresh
귤 달고 맛있어요 만족합니다,refresh
먹어본 귤중에 제일 싱겁고 맛없네요  이러기 쉽지않은데   이마트과일 항상 중간이상은 가는데 이번은 실패  ,refresh
맛있는거 심심한거 섞여있지만 대체로 맛있네요,refresh
껍질도     괜찮아요   당도는 그럭저럭   할인 해서 좋네요,refresh
썩은 귤이 있어요  상태 확인하고 보내주셔야 합니다  확인해서 다른것으로 바꿔주셔야 했습니다  잘 살펴보고 배송해주세요 꼭 ,refresh
완전 신선하고 맛도 조아요,refresh
귤이 이렇게 달아도 되나요    진짜 맛있어요,refresh
안달고 너무비싸네요,refresh
겨울마다 시켜먹는 귤입니다 추천해요,refresh
맛있어요 재구매 했어요,refresh
조금 큰 듯 헌데 저렴한 가격에 맛나게 먹었어요,refresh
진짜 맛있어요 재구매할께요,refresh
가격면 품질도좋아요당도도 좋아요,refresh
달고 맛있고 크기도 커서 좋아요 ,refresh
최고예요 ,refresh
굵기도 적당하고 달고 맛있어요 신선합니다,refresh
잘받았습니다 잘사용하겠습니다 감사합니다,refresh
달고 맛있어요  싱싱하고 좋고 감사합니다  굿입니다,refresh
한 알이 찍혀 귤 두알을 잃었지만 귤 맛은 최고  달고 시고 좋아하는 귤 맛  좋은 귤 보내주셔서 감쏴해요     ,refresh
신선하고 맛있습니다  항상 구매하는 제품입니다 ,refresh
턱하니 보이는곳에 썩은게 하나있어서 받자마자 부랴부랴 썩은게 있는지 확인했는데  개만 썩어있더라구요  얼른 먹어야될듯싶네요  귤은 정말 맛있어요   ,refresh
잘 받았습니다 감사합니다,refresh
도저희 너무 시큼해서 먹을수가 없어요,refresh
맛있게 잘 먹었어요,refresh
귤 맛있네요     개 정도 썩은게 왔지만 감안하고 먹어요,refresh
달고 맛있어서 재 주문 했어요  ,refresh
맛이 좋아요 가격도 저렴하고 가성비 최고,refresh
새콤달콤 맛있네요  ,refresh
귤이 싱싱하고 새콤 달콤하니 맛이 좋습니다  포장상태도 좋았어요  안전하게 쏙배송 잘 해주셔 감사합니다 ,refresh
제품 좋구요 이몰 너무 편하네요,refresh
상한 귤 하나 없고 싱싱하고 맛도 아주 달아서 잘 먹었습니다 ,refresh
잘받았습니다 좋아요    ,refresh
값도 싸고 맛도 아주 좋아요,refresh
당도도 높고 새콤하니 맛있어요,refresh
좋습니다  늘 사는 거예요,refresh
늘 애용하고 있어요  말 안해도 아시죠   ,refresh
껍질이 두껍고 상한게 몇개 있지만 달아요,refresh
종종 구입하는데 괜찮아요 ,refresh
가격대비 상품도 너무좋고 만족합니다,refresh
처음 받았을땐 맛없었는데 며칠 지나니까 맛이 드네요,refresh
사이즈선택이 어렵지만 달고 맛있었습니다,refresh
안전하게 잘받았어요,refresh
아직 먹어보진 않았지만 상태는 좋습니다 ,refresh
잘 샀습니다 또 구매할께요 빠른 배송도 좋습니다,refresh
할인해서 좋안 가격에 샀는데 맛은 아직,refresh
터지거나 무른 것 없고 달아서 아주 만족스럽네요 ,refresh
그럭저럭 먹을만하네요 크기는 작아요,refresh
항상 애용하는 제품입니다,refresh
좋아요 죠아요 조아요,refresh
맛있어요 재구매의사 있습니다,refresh
크가는 작아도 새콤하고 달콤하니 맛있어요,refresh
좋아요 ,refresh
당도선별 된 맛  크기가 작고 껍질이 얇아서 더 좋아요 ,refresh
신맛이 좀 부족하지만 달고 맛있음 바닥에 깔려서 무른 귤도 두어개 나옴,refresh
생각보다맛있어요  ,refresh
과일도싱싱한게 오고 양도 많아 좋아요,refresh
달고 맛있어요  크기도 맛도 만족합니다 좋아요,refresh
당도선별 귤로 구입,refresh
당도 좋은편이고 맛있어요,refresh
괜찮습니다 괜찮습니다,refresh
맛나요   사길잘한거같아요,refresh
매번 시키는거지만 최곱니다,refresh
만족합니다 만족합니다 ,refresh
어떤때는 너무 안익어 떫기도 하고 어떤때는 노랗게 잘익어 아주 달고 맛있어요,refresh
바나나 맛있네요  잘 먹었어요,refresh
수입농산물 안사는데 이건 유기농이라 쭈욱 먹고 있습니다  신선하고 달달해요 ,refresh
좋아요 좋아요 좋아요,refresh
배송도 빠르고 안전하게 왔습니다  만족합니다 ,refresh
그냥 쏘쏘  사이즈가 작아요,refresh
쓱배송 너무 편리하고 좋아요    믿을수있고 정확한 제품이라 매번 신뢰하며 재구매합니다 ,refresh
역시 이마트물건이 제일 싸고 좋아요,refresh
바나나 크고 신선해요,refresh
유기농이라 확실히 오래 보존됩니다  크기도 맛도 좋아요 ,refresh
좋아요 맛있어요  ,refresh
신선하게 잘 받았습니다,refresh
무르고 상한것 없이 싱싱했어요 ,refresh
쓱배송 너무 편리하고 좋습니다    믿을수있고 정확한 제품이라 매번 신뢰하며 재구매합니다 ,refresh
유기농이라 맛있네요,refresh
매번주문하는 상품이에요  좋아요 ,refresh
신선하고 좋네요 배송도 잘 되었습니다,refresh
늘 잘먹습니다    ,refresh
늘사는거에요 좋아요  ,refresh
달고 맛있네요 만족해요,refresh
싱싱하고 상하지 않아서 좋았어요,refresh
한송이는 신선하고 한송이는 검게 금방 상해버렸어요,refresh
  뇨노어채추치네   나,refresh
저렴하니 좋으네요,refresh
잘써용 괜찮아용  ,refresh
가성비 굿이랍니당   ,refresh
항상 맛있게 먹고있어요,refresh
정종 사먹는 아이템,refresh
유기농에 싱싱한건 좋으나 맛이 없네요,refresh
가격도 저렴하고 맛도 좋아요,refresh
싱싱해서 좋았습니다,refresh
배송 감사합니다  잘 먹었어요,refresh
달아요 맛있어요  ,refresh
덜 달았어요 그냥저냥,refresh
익혀 먹으니 달고 맛있어요 ,refresh
맛있어요 좋아요   ,refresh
